Date	Time	Activity	Distance	Duration	WorkoutName	WorkoutType	CompName	CompDist	CompPlace	Shoes	Notes
06/15/2015	00:00:00	Running	0	00.00	Strides 	Workout			0		8 strides on Oak St after the run 
06/15/2015	17:30:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics DS Trainer 19 (05/01/2015)	SQP-AW with Andrew, then firehouse, and ran into Colin with 5 minutes left. Felt better today after the last 2 days being fairly easy. 
06/16/2015	17:20:00	Weight Lifting	0	1:00:00.00		Training					Lift after work. Usual stuff. Wondering if I should start squatting/lunging heavier and with less reps. Might be more beneficial than high rep low weight. 
06/16/2015	18:45:00	Running	10	1:10:00.00	Easy Run 	Training			0	Asics DS Trainer 19 (05/01/2015)	30 min with Pat on the morning loop, then a fire house loop, around campus, SQP, up the hill, back home. Felt good today, not bogged down. 
06/17/2015	19:15:00	Running	10	1:10:00.00	Strides 	Workout			0	Asics DS Trainer 19 (05/01/2015)	Was at work until about 6, longer than usual because these are the busiest days of my internship. Prepped my sausage and potatoes, and threw them in the oven before I ran.<br /><br /><br />Did the bus-path to Newington Loop, then randomly around to hit the time. Started off quick, but settled in halfway through. 8 20 second pick-ups in the last 8 minutes for my strides.<br /><br /><br /><br /><br /><br /><br /><br />
06/18/2015	17:15:00	Weight Lifting	0	45:00.00		Training					Arm day, core, calf raises 
06/18/2015	18:15:00	Running	10	1:10:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	30 with Pat on the morning loop, then firehouse, and bus path. Felt pretty good, up tempo. New shoes too. The next few days are going to be rough for running with the car show for my internship. Cannot falter on training however...NO MATTER WHAT 
06/19/2015	21:10:00	Running	5	35:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Worked from 8-6 setting up for the car show at my internship. Absolutely beat, and I had to go to my grandma's for dinner with some of my family. Was a nice time as always. Ran on a near full stomach though. Easy day for the week, but tomorrow may be equally as tiring. 
06/20/2015	19:30:00	Running	8.5	1:00:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	Work from 6:30-4:30, the Auto Show for my Internship which is what I have been working doing marketing/advertising for. Big success, nice to see it all come together. Tiring though, and it affected the run. An hour was about as good as I could hope for today. 
06/21/2015	20:00:00	Running	11.3	1:20:00.00	Easy Run 	Training			0	Mizuno Wave Paradox (06/18/2015)	I thought there was supposed to be a tropical storm today! What happened! I woke up at 5 for no reason, and went back to sleep until 9:30, still having this waking up randomly issue. Ended up having to work LC and I was not happy about that. Went home briefly for father's day...wish I could have spent more than 40 minutes at home. There was literally no one at LC and I was the only game open in the back of the park. Improved my balling skills however, can now do layups and shoot better from close range. Watch out.<br /><br /><br />Got my break at 6:00, and they let me leave right after so I was able to eat. Ran after getting home and relaxing for a bit. Still tired from all this, but better than the past 2 days.<br /><br /><br />Got my fleet feet schedule. Averaging around 25 hours a week there. If I don't get the small internship I applied for I'll be staying at LC all summer too. I hit 59 hours of work this week. Lets hope I never do that again in my life. Planning to start doubles this week. 
